1	chr1	1	+	93	89.247311827957	10.752688172043
702	chr1	702	+	97	89.6907216494845	10.3092783505155
2761	chr1	2761	+	97	94.8453608247423	5.15463917525774
3060	chr1	3060	+	83	95.1807228915663	4.81927710843374
4327	chr1	4327	+	89	88.7640449438202	11.2359550561798
4343	chr1	4343	+	92	85.8695652173913	14.1304347826087
10781	chr1	10781	+	81	92.5925925925926	7.4074074074074
21507	chr1	21507	+	84	89.2857142857143	10.7142857142857
32314	chr1	32314	+	88	94.3181818181818	5.68181818181817
39280	chr1	39280	+	85	91.7647058823529	8.23529411764706
49989	chr1	49989	+	73	89.041095890411	10.958904109589
49990	chr1	49990	+	71	98.5915492957747	1.40845070422534
50035	chr1	50035	+	77	88.3116883116883	11.6883116883117
51494	chr1	51494	+	77	90.9090909090909	9.09090909090909
53335	chr1	53335	+	76	92.1052631578947	7.89473684210526
58916	chr1	58916	+	86	87.2093023255814	12.7906976744186
58950	chr1	58950	+	82	92.6829268292683	7.3170731707317
71174	chr1	71174	+	93	89.247311827957	10.752688172043
73638	chr1	73638	+	74	91.8918918918919	8.1081081081081
82226	chr1	82226	+	66	86.3636363636364	13.6363636363636
82233	chr1	82233	+	85	87.0588235294118	12.9411764705882
82337	chr1	82337	+	82	96.3414634146341	3.65853658536585
82361	chr1	82361	+	66	93.9393939393939	6.06060606060606
82369	chr1	82369	+	73	94.5205479452055	5.47945205479452
82390	chr1	82390	+	73	94.5205479452055	5.47945205479452
82394	chr1	82394	+	78	93.5897435897436	6.41025641025641
86025	chr1	86025	+	82	92.6829268292683	7.3170731707317
89715	chr1	89715	+	85	96.4705882352941	3.52941176470588
89726	chr1	89726	+	78	88.4615384615385	11.5384615384615
92899	chr1	92899	+	88	90.9090909090909	9.09090909090909
94359	chr1	94359	+	66	95.4545454545455	4.54545454545455
95783	chr1	95783	+	94	89.3617021276596	10.6382978723404
95811	chr1	95811	+	70	95.7142857142857	4.28571428571428
103815	chr1	103815	+	78	88.4615384615385	11.5384615384615
104952	chr1	104952	+	75	96	4
104963	chr1	104963	+	77	92.2077922077922	7.79220779220779
104991	chr1	104991	+	67	95.5223880597015	4.47761194029852
105049	chr1	105049	+	71	90.1408450704225	9.85915492957746
105085	chr1	105085	+	82	90.2439024390244	9.7560975609756
105100	chr1	105100	+	79	89.873417721519	10.126582278481
108216	chr1	108216	+	80	98.75	1.25
111948	chr1	111948	+	89	92.1348314606742	7.86516853932584
113491	chr1	113491	+	92	85.8695652173913	14.1304347826087
123233	chr1	123233	+	80	91.25	8.75
123245	chr1	123245	+	92	92.3913043478261	7.60869565217391
123263	chr1	123263	+	74	93.2432432432432	6.75675675675676
125218	chr1	125218	+	74	94.5945945945946	5.4054054054054
128693	chr1	128693	+	78	97.4358974358974	2.56410256410257
129976	chr1	129976	+	77	92.2077922077922	7.79220779220779
134615	chr1	134615	+	83	89.1566265060241	10.8433734939759
134658	chr1	134658	+	92	90.2173913043478	9.78260869565217
134669	chr1	134669	+	79	96.2025316455696	3.79746835443038
135970	chr1	135970	+	88	96.5909090909091	3.40909090909091
146869	chr1	146869	+	95	97.8947368421053	2.10526315789473
151076	chr1	151076	+	77	93.5064935064935	6.4935064935065
153698	chr1	153698	+	83	92.7710843373494	7.22891566265061
155341	chr1	155341	+	87	94.2528735632184	5.74712643678161
155351	chr1	155351	+	92	92.3913043478261	7.60869565217391
