1	chr1	1	+	73	53.4246575342466	46.5753424657534
4082	chr1	4082	+	71	4.22535211267606	95.7746478873239
8960	chr1	8960	+	82	3.65853658536585	96.3414634146341
13874	chr1	13874	+	94	2.12765957446809	97.8723404255319
18243	chr1	18243	+	88	5.68181818181818	94.3181818181818
19406	chr1	19406	+	82	1.21951219512195	98.780487804878
20257	chr1	20257	+	73	2.73972602739726	97.2602739726027
20288	chr1	20288	+	76	3.94736842105263	96.0526315789474
20299	chr1	20299	+	84	0	100
20302	chr1	20302	+	82	0	100
20316	chr1	20316	+	76	2.63157894736842	97.3684210526316
20355	chr1	20355	+	85	3.52941176470588	96.4705882352941
20654	chr1	20654	+	89	1.12359550561798	98.876404494382
33775	chr1	33775	+	77	2.5974025974026	97.4025974025974
36569	chr1	36569	+	76	2.63157894736842	97.3684210526316
38794	chr1	38794	+	72	44.4444444444444	55.5555555555556
42378	chr1	42378	+	84	75	25
55516	chr1	55516	+	85	90.5882352941177	9.41176470588235
69506	chr1	69506	+	77	93.5064935064935	6.4935064935065
70209	chr1	70209	+	92	90.2173913043478	9.78260869565217
72347	chr1	72347	+	80	90	10
76304	chr1	76304	+	96	93.75	6.25
86173	chr1	86173	+	77	93.5064935064935	6.4935064935065
86180	chr1	86180	+	77	92.2077922077922	7.79220779220779
86236	chr1	86236	+	85	92.9411764705882	7.05882352941177
86292	chr1	86292	+	85	89.4117647058824	10.5882352941176
90304	chr1	90304	+	94	95.7446808510638	4.25531914893617
95880	chr1	95880	+	97	93.8144329896907	6.18556701030928
95910	chr1	95910	+	91	94.5054945054945	5.4945054945055
98750	chr1	98750	+	69	94.2028985507246	5.79710144927536
101289	chr1	101289	+	69	92.7536231884058	7.2463768115942
126145	chr1	126145	+	83	77.1084337349398	22.8915662650602
126193	chr1	126193	+	72	90.2777777777778	9.72222222222221
126228	chr1	126228	+	87	94.2528735632184	5.74712643678161
128460	chr1	128460	+	66	93.9393939393939	6.06060606060606
129732	chr1	129732	+	90	92.2222222222222	7.77777777777777
130323	chr1	130323	+	72	94.4444444444444	5.55555555555556
130837	chr1	130837	+	66	87.8787878787879	12.1212121212121
136466	chr1	136466	+	80	92.5	7.5
139613	chr1	139613	+	77	90.9090909090909	9.09090909090909
145850	chr1	145850	+	95	93.6842105263158	6.31578947368421
147893	chr1	147893	+	87	94.2528735632184	5.74712643678161
147898	chr1	147898	+	68	97.0588235294118	2.94117647058823
147917	chr1	147917	+	82	91.4634146341463	8.53658536585365
147954	chr1	147954	+	75	92	8
147999	chr1	147999	+	68	97.0588235294118	2.94117647058823
148029	chr1	148029	+	72	87.5	12.5
148049	chr1	148049	+	103	94.1747572815534	5.8252427184466
148055	chr1	148055	+	78	87.1794871794872	12.8205128205128
153895	chr1	153895	+	71	94.3661971830986	5.63380281690141
159078	chr1	159078	+	94	94.6808510638298	5.31914893617021
166836	chr1	166836	+	84	84.5238095238095	15.4761904761905
167685	chr1	167685	+	85	95.2941176470588	4.70588235294119
168432	chr1	168432	+	82	93.9024390243902	6.09756097560977
186032	chr1	186032	+	73	94.5205479452055	5.47945205479452
187208	chr1	187208	+	79	89.873417721519	10.126582278481
189561	chr1	189561	+	65	98.4615384615385	1.53846153846153
189730	chr1	189730	+	66	92.4242424242424	7.57575757575758
192422	chr1	192422	+	58	84.4827586206897	15.5172413793103
192497	chr1	192497	+	84	97.6190476190476	2.38095238095238
192503	chr1	192503	+	93	94.6236559139785	5.3763440860215
193057	chr1	193057	+	82	93.9024390243902	6.09756097560977
193090	chr1	193090	+	78	47.4358974358974	52.5641025641026
193098	chr1	193098	+	90	4.44444444444444	95.5555555555556
193114	chr1	193114	+	68	1.47058823529412	98.5294117647059
193125	chr1	193125	+	73	0	100
193162	chr1	193162	+	70	1.42857142857143	98.5714285714286
193170	chr1	193170	+	83	4.81927710843374	95.1807228915663
193235	chr1	193235	+	66	1.51515151515152	98.4848484848485
199475	chr1	199475	+	80	5	95
201933	chr1	201933	+	86	6.97674418604651	93.0232558139535
201935	chr1	201935	+	92	1.08695652173913	98.9130434782609
201963	chr1	201963	+	95	1.05263157894737	98.9473684210526
204719	chr1	204719	+	88	0	100
206706	chr1	206706	+	89	5.61797752808989	94.3820224719101
213639	chr1	213639	+	91	3.2967032967033	96.7032967032967
213652	chr1	213652	+	95	6.31578947368421	93.6842105263158
216432	chr1	216432	+	76	5.26315789473684	94.7368421052632
219076	chr1	219076	+	104	6.73076923076923	93.2692307692308
226296	chr1	226296	+	78	1.28205128205128	98.7179487179487
226716	chr1	226716	+	82	2.4390243902439	97.5609756097561
232091	chr1	232091	+	86	5.81395348837209	94.1860465116279
238844	chr1	238844	+	94	2.12765957446809	97.8723404255319
239810	chr1	239810	+	89	4.49438202247191	95.5056179775281
243450	chr1	243450	+	86	4.65116279069767	95.3488372093023
243479	chr1	243479	+	92	5.43478260869565	94.5652173913043
243481	chr1	243481	+	82	1.21951219512195	98.780487804878
248600	chr1	248600	+	73	1.36986301369863	98.6301369863014
255414	chr1	255414	+	97	5.15463917525773	94.8453608247423
270789	chr1	270789	+	84	4.76190476190476	95.2380952380952
270797	chr1	270797	+	68	52.9411764705882	47.0588235294118
278379	chr1	278379	+	67	94.0298507462687	5.97014925373134
285416	chr1	285416	+	73	95.8904109589041	4.1095890410959
285452	chr1	285452	+	78	91.025641025641	8.97435897435898
299265	chr1	299265	+	65	92.3076923076923	7.69230769230769
311670	chr1	311670	+	85	97.6470588235294	2.35294117647059
311674	chr1	311674	+	84	96.4285714285714	3.57142857142857
313541	chr1	313541	+	80	88.75	11.25
317196	chr1	317196	+	85	90.5882352941177	9.41176470588235
317232	chr1	317232	+	80	88.75	11.25
317250	chr1	317250	+	87	93.1034482758621	6.89655172413794
317252	chr1	317252	+	84	89.2857142857143	10.7142857142857
317261	chr1	317261	+	73	93.1506849315068	6.84931506849315
342100	chr1	342100	+	68	91.1764705882353	8.82352941176471
346630	chr1	346630	+	77	94.8051948051948	5.1948051948052
